t,i,q,dq,q_des,dq_des
0.001055,0,-0.000575,-0.032273,0.000419,0.000000
0.003056,0,-0.000192,0.001602,0.002305,0.000000
0.005055,0,-0.000192,0.072557,0.004189,0.000000
0.007055,0,-0.000575,0.029068,0.006074,0.000000
0.009056,0,-0.000575,-0.064317,0.007958,0.000000
0.011056,0,-0.000192,0.067522,0.009843,0.000000
0.013057,0,-0.000575,0.057907,0.011728,0.000000
0.015055,0,-0.000575,-0.041886,0.013609,0.000000
0.017056,0,-0.000192,0.030899,0.015492,0.000000
0.019056,0,-0.000575,-0.012131,0.017374,0.000000
0.021056,0,-0.000575,-0.011673,0.019255,0.000000
0.023058,0,-0.000575,-0.024948,0.021137,0.000000
0.025057,0,-0.000192,0.035934,0.023016,0.000000
0.027056,0,-0.000192,0.017624,0.024894,0.000000
0.029056,0,-0.000192,0.042343,0.026772,0.000000
0.031057,0,-0.000192,0.027695,0.028649,0.000000
0.033078,0,-0.000192,-0.020828,0.030544,0.000000
0.035057,0,-0.000192,0.057449,0.032399,0.000000
0.037063,0,-0.000192,-0.029527,0.034277,0.000000
0.039057,0,-0.000192,-0.032273,0.036143,0.000000
0.041057,0,-0.000192,0.017624,0.038013,0.000000
0.043057,0,-0.000192,-0.015335,0.039882,0.000000
0.045057,0,0.000192,-0.011215,0.041748,0.000000
0.047057,0,0.000192,0.070269,0.043613,0.000000
0.049061,0,0.000192,0.030899,0.045481,0.000000
0.051058,0,0.000192,0.059282,0.047339,0.000000
0.053066,0,0.000575,0.118791,0.049207,0.000000
0.055057,0,0.000575,0.061571,0.051057,0.000000
0.057058,0,0.000575,-0.003433,0.052913,0.000000
0.059057,0,0.000575,0.088579,0.054766,0.000000
0.061058,0,0.000959,0.092699,0.056618,0.000000
0.063057,0,0.000959,0.080339,0.058466,0.000000
0.065058,0,0.001342,0.101854,0.060314,0.000000
0.067057,0,0.001726,0.104143,0.062159,0.000000
0.069058,0,0.001726,0.103227,0.064001,0.000000
0.071057,0,0.002109,0.095446,0.065840,0.000000
0.073057,0,0.002109,0.143053,0.067677,0.000000
0.075057,0,0.002493,0.137560,0.069511,0.000000
0.077057,0,0.002876,0.192951,0.071342,0.000000
0.079057,0,0.003260,0.137560,0.073171,0.000000
0.081058,0,0.003643,0.131609,0.074997,0.000000
0.083057,0,0.004027,0.187458,0.076819,0.000000
0.085059,0,0.004410,0.268024,0.078640,0.000000
0.087058,0,0.004794,0.238727,0.080456,0.000000
0.089058,0,0.004027,0.205311,0.082269,0.000000
0.091058,0,0.005944,0.254291,0.084079,0.000000
0.093057,0,0.006328,0.344930,0.085885,0.000000
0.095058,0,0.007095,0.271686,0.087689,0.000000
0.097057,0,0.007478,0.346761,0.089488,0.000000
0.099057,0,0.008245,0.324331,0.091284,0.000000
0.101057,0,0.009012,0.284961,0.093077,0.000000
0.103057,0,0.009779,0.420921,0.094866,0.000000
0.105057,0,0.010546,0.387045,0.096651,0.000000
0.107057,0,0.011313,0.410392,0.098432,0.000000
0.109057,0,0.012464,0.443351,0.100210,0.000000
0.111057,0,0.013231,0.466697,0.101983,0.000000
0.113058,0,0.013998,0.428703,0.103753,0.000000
0.115057,0,0.015148,0.450675,0.105517,0.000000
0.117057,0,0.016299,0.588006,0.107279,0.000000
0.119057,0,0.017449,0.550470,0.109035,0.000000
0.121057,0,0.018600,0.581598,0.110788,0.000000
0.123057,0,0.019750,0.613641,0.112536,0.000000
0.125057,0,0.020900,0.614099,0.114279,0.000000
0.127057,0,0.022434,0.651180,0.116019,0.000000
0.129057,0,0.023585,0.623712,0.117753,0.000000
0.131057,0,0.024735,0.601739,0.119483,0.000000
0.133057,0,0.026269,0.642022,0.121208,0.000000
0.135058,0,0.027803,0.740901,0.122928,0.000000
0.137057,0,0.029337,0.778440,0.124644,0.000000
0.139057,0,0.030871,0.788968,0.126354,0.000000
0.141057,0,0.032405,0.838407,0.128059,0.000000
0.143057,0,0.033939,0.770200,0.129760,0.000000
0.145057,0,0.035473,0.806363,0.131455,0.000000
0.147057,0,0.037391,0.889220,0.133145,0.000000
0.149057,0,0.038925,0.779355,0.134830,0.000000
0.151057,0,0.040459,0.777524,0.136509,0.000000
0.153057,0,0.042376,0.869077,0.138183,0.000000
0.155058,0,0.044294,0.925841,0.139852,0.000000
0.157058,0,0.045828,0.900664,0.141515,0.000000
0.159057,0,0.047745,0.881896,0.143171,0.000000
0.161058,0,0.049664,0.942321,0.144824,0.000000
0.163057,0,0.051198,0.971160,0.146469,0.000000
0.165057,0,0.053499,0.943236,0.148109,0.000000
0.167057,0,0.055417,1.011445,0.149744,0.000000
0.169057,0,0.057334,0.949187,0.151371,0.000000
0.171057,0,0.059252,0.994506,0.152994,0.000000
0.173058,0,0.061169,1.021058,0.154610,0.000000
0.175057,0,0.063470,1.066834,0.156220,0.000000
0.177057,0,0.065387,1.021973,0.157824,0.000000
0.179057,0,0.067305,1.010529,0.159422,0.000000
0.181057,0,0.069606,1.004121,0.161013,0.000000
0.183057,0,0.071907,1.074159,0.162598,0.000000
0.185057,0,0.073824,1.073701,0.164176,0.000000
0.187057,0,0.075742,1.052186,0.165749,0.000000
0.189057,0,0.078043,1.079652,0.167314,0.000000
0.191056,0,0.079960,1.048524,0.168872,0.000000
0.193057,0,0.082261,1.077363,0.170425,0.000000
0.195058,0,0.084562,1.063630,0.171971,0.000000
0.197057,0,0.086480,1.098420,0.173509,0.000000
0.199058,0,0.089164,1.176242,0.175041,0.000000
0.201057,0,0.091082,1.168917,0.176566,0.000000
0.203057,0,0.093766,1.154727,0.178083,0.000000
0.205058,0,0.095684,1.153811,0.179594,0.000000
0.207057,0,0.097985,1.153353,0.181098,0.000000
0.209057,0,0.100285,1.134127,0.182594,0.000000
0.211055,0,0.102586,1.135043,0.184082,0.000000
0.213056,0,0.104887,1.107575,0.185564,0.000000
0.215057,0,0.107188,1.124514,0.187040,0.000000
0.217055,0,0.109489,1.092011,0.188505,0.000000
0.219057,0,0.111407,1.070496,0.189966,0.000000
0.221054,0,0.114091,1.154727,0.191417,0.000000
0.223057,0,0.116009,1.077363,0.192863,0.000000
0.225055,0,0.118310,1.149691,0.194298,0.000000
0.227057,0,0.120994,1.124972,0.195729,0.000000
0.229058,0,0.122912,1.173037,0.197151,0.000000
0.231057,0,0.125213,1.109406,0.198565,0.000000
0.233056,0,0.127514,1.139621,0.199969,0.000000
0.235057,0,0.130198,1.141909,0.201368,0.000000
0.237056,0,0.132116,1.206454,0.202758,0.000000
0.239057,0,0.134417,1.163424,0.204140,0.000000
0.241057,0,0.136718,1.069123,0.205514,0.000000
0.243058,0,0.139019,1.127261,0.206880,0.000000
0.245058,0,0.141319,1.158847,0.208238,0.000000
0.247057,0,0.143237,1.126345,0.209586,0.000000
0.249057,0,0.145538,1.133670,0.210928,0.000000
0.251057,0,0.147840,1.077363,0.212260,0.000000
